country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Australia,288M,160M,272M,399M,84.6M,123M,738M,681M,617M,111M,578M,388M,342M,364M,392M,354M,396M,710M,648M,614M,562M,693M,642M,627M,593M,772M,810M,1.04B,1.63B,896M,892M,995M,901M,1.09B,1.07B,1.06B,1.11B,1.13B,1.21B,1.41B,1.67B
Austria,,1.09M,192M,62.2M,97.8M,71M,54M,324M,42M,33.2M,287M,313M,110M,281M,712M,763M,465M,212M,161M,249M,239M,557M,675M,341M,530M,474M,571M,449M,368M,271M,306M,372M,510M,318M,230M,328M,250M,236M,281M,296M,360M
Belgium,61.3M,63.7M,87.9M,83.1M,466M,503M,91.8M,70.1M,91.1M,102M,118M,145M,189M,179M,664M,616M,184M,731M,717M,703M,702M,781M,577M,696M,662M,645M,581M,444M,431M,462M,445M,416M,440M,565M,592M,674M,653M,641M,739M,833M,716M
Canada,312M,76.7M,708M,695M,865M,922M,1.53B,1.13B,1.21B,1.28B,1.67B,1.98B,1.46B,1.01B,1.62B,1.43B,1.98B,2.25B,1.76B,1.26B,1.87B,1.82B,1.42B,1.23B,1.28B,1.63B,1.05B,1.01B,1.35B,1.31B,955M,1.02B,853M,1.24B,996M,1.38B,1.8B,1.89B,1.87B,1.69B,2.37B
Switzerland,37.3M,67.9M,58.1M,111M,83.8M,85.6M,151M,111M,176M,137M,146M,129M,253M,159M,502M,428M,510M,385M,640M,399M,462M,497M,549M,494M,625M,515M,348M,488M,249M,470M,,379M,533M,532M,565M,630M,681M,701M,718M,697M,628M
Germany,2.87B,1.75B,1.74B,1.82B,2.62B,2.88B,2.97B,5B,3.6B,3.85B,4.63B,4.84B,6.46B,6.35B,7.1B,6.12B,5.1B,6.84B,5.65B,5.37B,6.29B,6.73B,6.3B,5.41B,4.89B,4.75B,4.97B,5.48B,5.61B,6.31B,5.14B,4.52B,4.58B,3.73B,4.42B,4.22B,4.69B,5.31B,5.15B,6.31B,5.98B
Denmark,,,,,198M,201M,141M,245M,251M,231M,339M,455M,389M,359M,285M,823M,771M,701M,934M,942M,617M,877M,937M,636M,726M,743M,883M,826M,677M,1.25B,1.02B,455M,936M,1.22B,695M,926M,883M,1.48B,1.53B,823M,946M
Spain,,,,,,,,,,,,,,,,,,,,,,,,,1.48B,1.51B,940M,680M,1.09B,990M,904M,1.3B,649M,847M,1.48B,1.54B,1.43B,1.34B,1.34B,1.59B,2.61B
Finland,,,,,,,49.3M,30.6M,50.1M,34.6M,43.3M,93M,73M,217M,157M,263M,221M,307M,472M,458M,,347M,674M,553M,670M,370M,267M,186M,172M,179M,214M,261M,201M,220M,334M,357M,361M,345M,555M,443M,379M
France,3.44B,4.01B,2.91B,2.82B,6.41B,6.62B,5.91B,7.41B,7.86B,7.23B,7.21B,8.01B,8.55B,9.01B,9.42B,9.9B,9.99B,11B,8.71B,7.89B,8.09B,8.56B,10.1B,10.2B,5.85B,5.86B,5.76B,5.81B,5.62B,5.65B,5.64B,5.01B,4.77B,3.61B,3.62B,3.62B,3.96B,4.35B,4.27B,5.26B,5.24B
